tconst	primaryTitle	startYear	genres	rating	votes
tt0054215	Psycho	1960	Drama,Horror,Mystery	8.5	750127
tt0062622	2001: A Space Odyssey	1968	Adventure,Sci-Fi	8.3	751176
tt0108052	Schindler's List	1993	Biography,Drama,History	9.0	1517251
tt0099685	Goodfellas	1990	Biography,Crime,Drama	8.7	1320114
tt0088763	Back to the Future	1985	Adventure,Comedy,Sci-Fi	8.5	1372231
tt0056172	Lawrence of Arabia	1962	Adventure,Biography,Drama	8.3	328152
tt0159097	The Virgin Suicides	1999	Drama,Romance	7.2	178291
tt0091251	Come and See	1985	Drama,Thriller,War	8.3	110936
tt0093779	The Princess Bride	1987	Adventure,Comedy,Family	8.0	464963
tt0245429	Spirited Away	2001	Adventure,Animation,Family	8.6	905425
tt0111161	The Shawshank Redemption	1994	Drama	9.3	3032380
tt1392190	Mad Max: Fury Road	2015	Action,Adventure,Sci-Fi	8.1	1161447
tt0050083	12 Angry Men	1957	Crime,Drama	9.0	921095
tt0023933	High and Low	1933	Comedy	6.7	104
tt0044741	Ikiru	1952	Drama	8.3	95894
tt0053604	The Apartment	1960	Comedy,Drama,Romance	8.3	208205
tt0097978	Night Club	1989	Comedy,Drama	5.5	120
tt0097216	Do the Right Thing	1989	Comedy,Drama	8.0	117974
tt0068688	Heat	1972	Comedy,Drama,Romance	6.1	1934
tt0005084	Children of Eve	1915	Drama	6.0	142
tt0033467	Citizen Kane	1941	Drama,Mystery	8.3	479867
tt0010208	Harakiri	1919	Drama	5.5	900
tt0016544	The Wizard of Oz	1925	Adventure,Comedy,Family	4.9	1854
tt0036443	Titanic	1943	Action,Drama,History	6.1	1934
tt0338013	Eternal Sunshine of the Spotless Mind	2004	Drama,Romance,Sci-Fi	8.3	1132917
tt0119217	Good Will Hunting	1997	Drama,Romance	8.3	1132394
tt0317248	City of God	2002	Crime,Drama	8.6	834911
tt0011284	Her Elephant Man	1920	Drama	7.2	47
tt0034583	Casablanca	1942	Drama,Romance,War	8.5	629520
tt0180093	Requiem for a Dream	2000	Drama	8.3	935942
tt0266543	Finding Nemo	2003	Adventure,Animation,Comedy	8.2	1156350
tt0071562	The Godfather Part II	1974	Crime,Drama	9.0	1424468
tt0110912	Pulp Fiction	1994	Crime,Drama	8.9	2326623
tt0088930	Clue	1985	Comedy,Crime,Mystery	7.3	115705
tt0038650	It's a Wonderful Life	1946	Drama,Family,Fantasy	8.6	526296
tt0441773	Kung Fu Panda	2008	Action,Adventure,Animation	7.6	549054
tt0469494	There Will Be Blood	2007	Drama	8.2	668490
tt0182313	Memento	1967	Drama	7.8	70
tt0070735	The Sting	1973	Comedy,Crime,Drama	8.3	289438
tt0060096	Amandus	1966	Drama	5.8	17
tt0120382	The Truman Show	1998	Comedy,Drama	8.2	1272213
tt0120586	American History X	1998	Crime,Drama	8.5	1228034
tt0094625	Akira	1988	Animation,Drama,Fantasy	8.0	215014
tt0021749	City Lights	1931	Comedy,Drama,Romance	8.5	206264
tt0028367	Three Godfathers	1936	Drama,Western	7.3	1082
tt0133093	The Matrix	1999	Action,Sci-Fi	8.7	2147869
tt0095848	Before Sunrise	1989	Action	6.8	140
tt0046438	Tokyo Story	1953	Drama	8.1	73441
tt0110357	The Lion King	1994	Adventure,Animation,Drama	8.5	1198848
tt0098635	When Harry Met Sally...	1989	Comedy,Drama,Romance	7.7	254738
tt0075376	Up!	1976	Comedy,Mystery,Thriller	5.8	3341
tt0092005	Stand by Me	1986	Adventure,Comedy,Drama	8.1	462695
tt0108037	The Sandlot	1993	Comedy,Drama,Family	7.8	107989
tt0083866	E.T. the Extra-Terrestrial	1982	Adventure,Family,Sci-Fi	7.9	452638
